timestamp,id_tps,nama_lokasi,latitude,longitude,level_kepenuhan,berat_kg,status_tutup,status_bau
2025-11-23 18:58:05.395279,TPS-01,Ampenan Selatan,-8.5724,116.071,36,4.85,Tutup,Normal
2025-11-23 18:58:05.395279,TPS-02,Taman Sari,-8.568,116.085,40,6.08,Tutup,Normal
2025-11-23 18:58:05.395279,TPS-03,Pejeruk,-8.575,116.08,20,4.76,Tutup,Normal
2025-11-23 18:58:05.395279,TPS-04,Kebun Sari,-8.58,116.088,14,2.63,Tutup,Normal
2025-11-23 18:58:05.395279,TPS-05,Pagutan,-8.6,116.105,30,5.07,Tutup,Normal
2025-11-23 18:58:05.395279,TPS-06,Pagesangan,-8.61,116.11,52,8.01,Tutup,Normal
2025-11-23 18:58:05.395279,TPS-07,Mataram Timur,-8.583,116.12,59,9.8,Tutup,Normal
2025-11-23 18:58:05.395279,TPS-08,Selagalas,-8.575,116.14,36,5.8,Tutup,Normal
2025-11-23 18:58:05.395279,TPS-09,Cakranegara,-8.59,116.13,68,9.93,Tutup,Normal
2025-11-23 18:58:05.395279,TPS-10,Bertais,-8.595,116.15,48,8.37,Buka,Normal
2025-11-23 18:58:05.395279,TPS-11,Sayang-Sayang,-8.56,116.13,46,6.21,Tutup,Normal
2025-11-23 18:58:05.395279,TPS-12,Rembiga,-8.555,116.11,8,1.0,Tutup,Normal
2025-11-23 18:58:05.395279,TPS-13,Dasan Agung,-8.585,116.1,50,8.9,Tutup,Normal
2025-11-23 18:58:05.395279,TPS-14,Gomong,-8.59,116.095,34,4.76,Tutup,Normal
2025-11-23 18:58:05.395279,TPS-15,Kekalik,-8.598,116.09,31,4.74,Tutup,Normal
2025-11-23 19:58:05.395279,TPS-01,Ampenan Selatan,-8.5724,116.071,48,7.81,Tutup,Normal
2025-11-23 19:58:05.395279,TPS-02,Taman Sari,-8.568,116.085,5,2.75,Tutup,Normal
2025-11-23 19:58:05.395279,TPS-03,Pejeruk,-8.575,116.08,33,4.08,Tutup,Normal
2025-11-23 19:58:05.395279,TPS-04,Kebun Sari,-8.58,116.088,41,5.89,Buka,Normal
2025-11-23 19:58:05.395279,TPS-05,Pagutan,-8.6,116.105,45,6.03,Tutup,Normal
2025-11-23 19:58:05.395279,TPS-06,Pagesangan,-8.61,116.11,35,5.7,Tutup,Normal
2025-11-23 19:58:05.395279,TPS-07,Mataram Timur,-8.583,116.12,38,7.42,Tutup,Normal
2025-11-23 19:58:05.395279,TPS-08,Selagalas,-8.575,116.14,56,8.8,Tutup,Normal
2025-11-23 19:58:05.395279,TPS-09,Cakranegara,-8.59,116.13,36,6.57,Tutup,Normal
2025-11-23 19:58:05.395279,TPS-10,Bertais,-8.595,116.15,22,3.32,Tutup,Normal
2025-11-23 19:58:05.395279,TPS-11,Sayang-Sayang,-8.56,116.13,31,4.21,Tutup,Normal
2025-11-23 19:58:05.395279,TPS-12,Rembiga,-8.555,116.11,41,7.44,Tutup,Normal
2025-11-23 19:58:05.395279,TPS-13,Dasan Agung,-8.585,116.1,43,7.89,Tutup,Normal
2025-11-23 19:58:05.395279,TPS-14,Gomong,-8.59,116.095,26,5.42,Tutup,Normal
2025-11-23 19:58:05.395279,TPS-15,Kekalik,-8.598,116.09,12,3.56,Tutup,Normal
2025-11-23 20:58:05.395279,TPS-01,Ampenan Selatan,-8.5724,116.071,18,4.33,Tutup,Normal
2025-11-23 20:58:05.395279,TPS-02,Taman Sari,-8.568,116.085,51,7.08,Tutup,Normal
2025-11-23 20:58:05.395279,TPS-03,Pejeruk,-8.575,116.08,57,8.86,Tutup,Normal
2025-11-23 20:58:05.395279,TPS-04,Kebun Sari,-8.58,116.088,13,1.45,Tutup,Normal
2025-11-23 20:58:05.395279,TPS-05,Pagutan,-8.6,116.105,4,1.12,Buka,Normal
